X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
16,1,-96.625,-87.5,-73.9,-90.1748808355729,-88.80182604995984,-73.26666666666667,-73.4,-64.4,-90.07652650137454,-89.3434001949698,-91.70051209877597,-94.00939648323289,-91.94794943175235,-79.93333333333334,-78.4,-92.83914494319183,-84.0,-78.8
16,2,-93.22806969177842,-89.57729575896231,-65.89285714285714,-90.762455580714,-88.14640527416793,-63.82142857142857,-63.5,-63.285714285714285,-86.67048696496029,-87.90559107863318,-87.22065556536239,-94.99714289696949,-93.07139950791556,-73.92857142857143,-73.14285714285714,-92.44565630493393,-90.0,-73.0
16,3,-93.42049911995373,-91.04518545838094,-66.75,-90.83538601798568,-87.81423548926303,-64.82142857142857,-65.35714285714286,-58.714285714285715,-88.39268830086304,-87.9164305364029,-90.68718903734788,-95.0,-96.0,-71.64285714285714,-72.85714285714286,-89.0,-87.0,-73.64285714285714
16,4,-94.32897286122434,-92.46281495172741,-60.857142857142854,-96.5,-88.7746490561154,-63.208333333333336,-62.5,-53.42857142857143,-88.7644401163094,-86.57988766856343,-90.46375122007758,-97.0,-94.33223792544732,-71.23076923076923,-73.85714285714286,-89.25,-90.0,-73.78571428571429
16,5,-96.0,-91.5,-60.107142857142854,-97.0,-89.6186913007887,-59.392857142857146,-57.857142857142854,-57.642857142857146,-89.79301198827305,-89.44858082090278,-91.00169864373595,-95.0,-94.0,-68.0,-76.92857142857143,-96.0,-83.0,-77.07142857142857
16,6,-96.25,-92.6223569105555,-62.5,-92.0,-89.37041340039131,-60.92857142857143,-58.785714285714285,-54.785714285714285,-89.72621457542401,-90.32230478389948,-90.85195863278166,-96.5,-94.33333333333333,-70.15384615384616,-76.0,-94.5,-80.5,-70.85714285714286
16,7,-93.0,-91.8,-51.785714285714285,-87.35,-93.0,-51.107142857142854,-50.142857142857146,-54.785714285714285,-89.15355760121112,-88.51999443489497,-89.74381297302341,-93.94717424979837,-97.0,-71.14285714285714,-71.07142857142857,-90.33333333333333,-80.5,-71.5
16,8,-94.75,-94.25,-53.214285714285715,-94.0,-93.0,-51.142857142857146,-50.285714285714285,-56.42857142857143,-91.0,-93.0,-89.8276644947478,-97.5,-91.5,-67.92307692307692,-73.0,-92.0,-83.0,-73.35714285714286
16,9,-73.07142857142857,-81.3076923076923,-48.0,-74.6923076923077,-85.99353725930162,-47.46153846153846,-46.38461538461539,-75.33333333333333,-76.57142857142857,-85.0,-82.07692307692308,-72.6923076923077,-71.6923076923077,-75.66666666666667,-77.3076923076923,-72.0,-50.77777777777778,-78.3076923076923
16,10,-71.88461538461539,-70.3076923076923,-44.53846153846154,-70.15384615384616,-87.82359031612026,-44.92307692307692,-44.23076923076923,-70.16666666666667,-86.17201088654056,-87.40996596917192,-84.61538461538461,-74.38461538461539,-70.54545454545455,-75.23076923076923,-75.0909090909091,-75.84615384615384,-51.888888888888886,-74.8
16,11,-69.07692307692308,-72.07692307692308,-48.15384615384615,-71.61538461538461,-86.66666666666667,-48.53846153846154,-47.0,-76.0,-77.0,-85.38482853092651,-84.6,-76.77777777777777,-79.5,-79.2,-69.66666666666667,-81.75,-57.111111111111114,-68.0
