X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
16,1,-96.0,-84.0,-74.0,-77.39407867360092,-87.40978765656145,-72.0,-74.0,-64.0,-88.3753220739608,-87.34230864394438,-86.46451466885226,-88.48860093012671,-86.31036456787567,-80.0,-80.0,-88.66029305790647,-84.0,-81.0
16,2,-86.93202562279288,-84.76183877779826,-65.5,-79.97193944684932,-87.4644600107944,-64.0,-64.0,-63.0,-88.3289318532675,-87.31885746112273,-87.07481950975505,-90.18414010228256,-88.81974612708328,-73.5,-71.0,-88.77946422676841,-90.0,-71.0
16,3,-86.62209695541664,-85.563913382414,-67.0,-82.74043248937829,-87.54950432531587,-65.0,-65.5,-58.0,-88.21610390387386,-87.28369713699581,-87.0977408742268,-95.0,-96.0,-71.0,-72.0,-88.0,-87.0,-73.0
16,4,-87.0734949821922,-85.9388783344338,-61.5,-97.0,-87.6527863385895,-59.0,-57.5,-56.0,-88.0212444391567,-87.24744018529883,-86.75866786065498,-97.0,-90.22898022469676,-72.0,-76.0,-87.0,-90.0,-73.0
16,5,-96.0,-92.0,-59.0,-97.0,-87.71643752920795,-57.0,-54.0,-57.0,-87.73465295935235,-87.24082249790858,-86.32009303605744,-95.0,-94.0,-66.0,-78.0,-96.0,-83.0,-79.0
16,6,-96.0,-84.99954285255016,-59.0,-95.0,-88.11361660897634,-59.0,-54.0,-52.5,-87.22639041875313,-87.36486233567814,-85.96337041254309,-96.5,-94.0,-68.0,-76.0,-94.5,-80.5,-69.5
16,7,-94.0,-93.0,-55.0,-83.0,-93.0,-50.5,-51.0,-55.0,-86.91373944350683,-88.1516629971757,-85.55669114778999,-88.47355447521183,-97.0,-71.0,-68.0,-89.0,-80.5,-71.5
16,8,-94.5,-94.5,-52.0,-94.0,-93.0,-51.0,-49.0,-56.0,-91.0,-93.0,-83.91175459502813,-97.5,-91.5,-66.0,-71.0,-92.0,-83.0,-72.0
16,9,-78.0,-84.0,-47.0,-72.0,-87.48347689213918,-47.0,-46.0,-80.0,-75.0,-85.0,-79.0,-65.0,-65.0,-74.0,-80.0,-63.0,-50.0,-83.0
16,10,-63.5,-63.0,-39.0,-63.0,-87.20140800410053,-40.0,-39.0,-73.0,-85.22311679263173,-87.49864965965908,-82.0,-68.0,-64.0,-73.0,-81.0,-67.0,-51.0,-82.0
16,11,-59.5,-68.0,-44.0,-63.0,-91.0,-44.0,-42.0,-74.0,-77.0,-87.1641837157599,-83.0,-80.0,-80.0,-78.0,-67.0,-78.0,-58.0,-69.0
16,12,-62.5,-60.5,-43.0,-69.0,-95.0,-43.0,-41.0,-74.0,-93.0,-85.38247478959244,-81.0,-67.0,-69.0,-77.0,-84.0,-70.0,-53.0,-84.0
16,13,-82.0,-82.0,-48.0,-79.0,-85.0,-47.0,-46.5,-69.0,-88.0,-80.0,-84.28505906159957,-82.0,-86.0,-75.0,-78.0,-92.0,-65.09462118123311,-75.5
